,Empresa,Preço,ROInvC,RPL,Margem Líquida,Margem EBIT,Alav.Financ.,P/L,P/VPA,EV/EBIT,Div.Yield,Volume Financ.(R$),Market Cap(R$)
AALR3,ALLIAR,1470,"5,90%","3,01%","3,29%","10,90%",214,4711,140,1889,"0,00%",16.827.932,1.738.904.395
ABEV3,AMBEV S/A,1736,"21,73%","19,39%","23,44%","27,80%",156,1680,310,1328,"2,82%",376.866.735,273.271.662.185
AERI3,AERIS,800,"14,32%","20,37%","4,19%","8,06%",337,5367,609,3084,"0,00%",20.939.968,6.129.707.648
AESB3,AES BRASIL,1097,"3,25%","2,03%","4,73%","24,35%",392,20318,206,7423,"2,10%",23.887.609,5.398.408.524
AFLT3,AFLUENTE T,865,"11,32%","10,78%","50,68%","53,41%",111,2770,305,2536,"5,08%",7.647,545.682.655
AGRO3,BRASILAGRO,2536,"16,31%","19,23%","26,02%","32,29%",166,817,119,609,"10,34%",21.167.027,2.596.280.923
AGXY3,AGROGALAXY,740,"3,88%","0,57%","0,09%","1,36%",459,35729,128,3949,"0,00%",1.073.909,1.264.104.919
AHEB3,SPTURIS,2501,"186,06%","310,94%","-26,33%","-15,75%",-1563,-409,-500,-676,"0,00%",3.342,214.872.171
AHEB5,SPTURIS,1800,"186,06%","310,94%","-26,33%","-15,75%",-1563,-294,-360,-676,"0,00%",287,214.872.171
AHEB6,SPTURIS,5150,"186,06%","310,94%","-26,33%","-15,75%",-1563,-843,-1029,-676,"0,00%",0,214.872.171
ALLD3,ALLIED,1716,"30,36%","28,42%","6,10%","8,87%",296,459,108,361,"2,70%",10.207.526,1.599.373.467
ALPA3,ALPARGATAS,3443,"14,36%","14,23%","10,84%","14,25%",180,4487,596,3508,"0,00%",121.968,21.474.143.380
ALPA4,ALPARGATAS,3872,"14,36%","14,23%","10,84%","14,25%",180,5046,670,3508,"0,00%",128.573.182,21.474.143.380
ALPK3,ESTAPAR,485,"-1,33%","-31,89%","-32,27%","-4,53%",434,-441,168,-7913,"0,00%",174.929,940.614.849
ALSO3,ALIANSCSONAE,1985,"3,16%","2,08%","19,73%","33,73%",141,3304,068,2275,"1,14%",28.349.120,5.275.589.643
ALUP11,ALUPAR,2423,"24,73%","30,45%","40,74%","65,89%",245,259,071,333,"3,47%",21.003.166,7.117.536.742
ALUP3,ALUPAR,800,"24,73%","30,45%","40,74%","65,89%",245,257,070,333,"3,50%",642.397,7.117.536.742
ALUP4,ALUPAR,830,"24,73%","30,45%","40,74%","65,89%",245,266,073,333,"3,37%",664.945,7.117.536.742
AMAR3,LOJAS MARISA,437,"-5,05%","-26,19%","-11,52%","-5,35%",315,-429,130,-1895,"0,00%",32.542.840,1.143.483.649
AMBP3,AMBIPAR,3786,"9,58%","13,35%","9,74%","18,23%",311,4303,347,2815,"0,25%",89.163.675,4.275.741.362
AMER3,AMERICANAS,3122,"0,86%","-2,02%","-1,61%","1,40%",279,-13136,179,16059,"0,00%",242.648.200,28.193.651.024
ANIM3,ANIMA,691,"4,11%","1,21%","1,49%","12,33%",321,10817,108,3319,"0,00%",26.829.973,2.790.733.443
APER3,ALPER S.A.,3410,"-3,80%","-1,00%","-0,85%","-3,21%",148,-58958,,-15570,"0,00%",3.783.079,519.421.157
