,Ação,Empresa,Preço,Margem EBIT,EV/EBIT,Volume Financ.(R$),Market Cap(R$)
115,GOAU4,GERDAU MET,11.26,26.78,87.0,82.805.100,11.833.433.932
248,SYNE3,SYN PROP TEC,6.24,70.87,111.0,8.987.320,952.501.337
271,USIM5,USIMINAS,13.66,34.06,136.0,289.129.721,16.313.351.008
98,EVEN3,EVEN,5.97,15.91,145.0,10.259.647,1.265.640.000
37,BRKM5,BRASKEM,45.74,24.66,223.0,148.682.357,35.312.448.476
66,CSNA3,SID NACIONAL,23.9,42.87,226.0,278.142.279,33.161.824.723
6,ALLD3,ALLIED,12.79,8.39,236.0,1.848.328,1.192.291.244
111,GGBR4,GERDAU,28.16,26.83,249.0,306.203.608,45.075.605.280
285,WIZS3,WIZ S.A.,7.62,42.7,285.0,11.958.195,1.218.493.489
146,LAVV3,LAVVI,4.69,28.98,290.0,4.409.903,976.416.972
172,MRFG3,MARFRIG,20.49,14.77,291.0,124.654.377,14.166.169.517
203,POSI3,POSITIVO TEC,7.46,14.51,304.0,28.112.664,1.057.828.000
76,DMMO3,DOMMO,1.0,97.4,321.0,12.296.621,509.685.069
269,UNIP6,UNIPAR,104.76,46.82,325.0,36.814.600,9.728.400.843
193,PETR4,PETROBRAS,30.83,46.58,327.0,2.029.830.477,423.968.230.988
272,VALE3,VALE,91.13,48.15,330.0,2.258.333.893,455.562.519.848
253,TASA4,TAURUS ARMAS,23.71,35.53,331.0,18.802.548,2.781.097.633
74,DEXP3,DEXXOS PAR,8.65,19.32,333.0,3.153.949,809.349.968
88,ENAT3,ENAUTA PART,20.33,84.59,353.0,26.821.383,5.403.854.379
197,PLPL3,PLANOEPLANO,2.65,14.41,356.0,2.143.548,541.278.400
4,AGRO3,BRASILAGRO,32.09,41.71,403.0,20.961.549,3.285.278.187
189,PCAR3,P.ACUCAR-CBD,22.81,3.29,410.0,48.751.212,6.144.764.664
120,HAGA3,HAGA S/A,8.86,25.36,410.0,352.173,49.742.002
58,CPLE11,COPEL,35.32,25.4,418.0,14.397.415,18.850.474.356
9,ALUP11,ALUPAR,26.1,72.22,419.0,17.363.972,7.691.244.243
168,MLAS3,MULTILASER,5.08,16.6,426.0,11.109.540,4.168.339.263
138,JHSF3,JHSF PART,5.36,55.47,429.0,26.472.434,3.678.162.532
148,LEVE3,METAL LEVE,24.91,19.99,430.0,8.810.813,3.196.164.735
255,TECN3,TECHNOS,2.35,16.11,436.0,2.766.428,184.489.605
212,RANI3,IRANI,5.96,27.14,440.0,6.879.805,1.530.052.601
51,CLSC4,CELESC,61.98,7.03,440.0,491.869,2.329.024.476
135,JALL3,JALLESMACHAD,10.34,63.89,443.0,7.570.810,3.047.167.921
230,SEER3,SER EDUCA,10.1,22.86,449.0,5.282.144,1.300.087.756
100,FESA4,FERBASA,43.09,33.52,470.0,19.853.567,3.959.091.200
53,CMIG4,CEMIG,12.73,22.04,473.0,90.500.365,24.386.682.296
224,RSUL4,RIOSULENSE,63.73,26.6,473.0,221.050,371.545.900
86,EMAE4,EMAE,40.5,36.82,474.0,521.333,1.163.341.645
227,SAPR4,SANEPAR,3.97,36.1,482.0,11.769.030,5.923.925.622
176,MYPK3,IOCHP-MAXION,12.34,9.36,495.0,19.802.383,1.896.899.876
62,CRPG5,CRISTAL,49.4,29.56,518.0,633.925,1.640.015.091
165,MELK3,MELNICK,3.63,6.8,527.0,1.706.780,754.928.708
136,JBSS3,JBS,36.39,8.4,528.0,315.357.955,86.385.004.482
89,ENBR3,ENERGIAS BR,21.54,20.22,535.0,65.086.040,12.518.299.873
68,CURY3,CURY S/A,6.7,20.37,552.0,6.745.515,1.955.563.090
264,TRPL4,TRAN PAULIST,24.73,80.18,561.0,30.792.669,18.582.091.791
64,CSED3,CRUZEIRO EDU,4.45,17.44,561.0,4.796.388,1.699.108.968
157,LVTC3,WDC NETWORKS,12.31,12.61,563.0,2.991.291,796.002.306
75,DIRR3,DIRECIONAL,10.66,18.18,566.0,18.966.807,1.599.000.000
95,ESPA3,ESPACOLASER,3.9,36.8,567.0,19.384.309,952.518.707
249,TAEE11,TAESA,41.35,98.94,601.0,87.688.966,14.222.384.079
207,PTBL3,PORTOBELLO,7.9,15.25,603.0,7.009.614,1.165.484.654
149,LIGT3,LIGHT S/A,8.98,11.52,605.0,21.494.971,3.345.546.810
67,CTSA3,SANTANENSE,1.92,9.45,607.0,251.979,156.553.075
46,CESP6,CESP,22.1,65.1,626.0,43.639.271,7.254.955.417
221,ROMI3,INDS ROMI,12.69,15.29,633.0,12.077.165,930.607.470
274,VBBR3,VIBRA,21.85,4.64,641.0,167.334.232,25.455.250.000
188,PARD3,IHPARDINI,17.4,18.08,653.0,6.085.693,2.279.027.553
24,BEEF3,MINERVA,11.86,7.55,654.0,67.860.373,7.202.381.207
211,RAIZ4,RAIZEN,6.34,3.83,656.0,56.523.551,8.615.659.946
263,TRIS3,TRISUL,4.22,20.49,657.0,7.841.848,787.526.010
177,NEOE3,NEOENERGIA,15.54,18.24,659.0,19.025.164,18.862.409.234
236,SLCE3,SLC AGRICOLA,48.84,30.25,670.0,76.833.089,10.374.719.735
79,DXCO3,DEXCO,13.6,23.15,677.0,47.320.293,10.349.096.134
162,MDNE3,MOURA DUBEUX,5.7,10.04,681.0,1.576.790,483.983.438
41,CARD3,CSU CARDSYST,14.43,17.81,682.0,3.157.861,603.174.000
259,TIMS3,TIM,13.19,20.8,692.0,83.604.753,31.930.410.010
65,CSMG3,COPASA,13.85,19.34,697.0,17.905.213,5.266.505.006
134,ITSA4,ITAUSA,9.99,160.31,703.0,233.817.551,88.528.676.179
261,TPIS3,TRIUNFO PART,1.89,26.11,708.0,1.657.234,332.640.000
80,EALT4,ACO ALTONA,6.69,11.27,717.0,237.248,181.335.000
150,LJQQ3,QUERO-QUERO,6.75,8.06,726.0,24.865.860,1.264.209.316
57,CPFE3,CPFL ENERGIA,30.74,18.16,734.0,66.014.837,35.420.301.486
83,ELET3,ELETROBRAS,33.46,29.52,735.0,136.010.833,52.537.381.027
195,PFRM3,PROFARMA,4.8,2.04,738.0,464.408,594.301.310
140,KEPL3,KEPLER WEBER,53.1,16.71,742.0,11.864.557,1.590.523.151
266,TUPY3,TUPY,17.35,7.34,755.0,11.534.908,2.501.479.625
171,MOVI3,MOVIDA,15.64,31.26,759.0,38.447.640,5.666.404.625
232,SGPS3,SPRINGS,4.65,6.98,761.0,253.983,232.500.000
235,SIMH3,SIMPAR,9.72,22.58,762.0,20.067.347,8.136.827.230
247,SUZB3,SUZANO S.A.,60.61,44.38,776.0,343.208.111,82.506.185.826
154,LPSB3,LOPES BRASIL,3.89,25.67,781.0,4.575.760,573.987.515
106,GETT11,GETNET BR,3.3,19.43,799.0,3.724.913,3.042.757.189
